,Unnamed: 0,url,title,price,rating,description,"Brand,Seller,orCollectionName",Modelnumber,PartNumber,ItemShape,Dialwindowmaterialtype,DisplayType,Clasp,Casematerial,Casediameter,CaseThickness,BandMaterial,Bandwidth,BandColor,Dialcolor,Bezelfunction,Movement,Waterresistantdepth,ProductWarranty,Metalstamp,Bezelmaterial,Specialfeatures,Itemweight,Bandsize,Calendar,Warranty,ModelYear,Material,ItemLength,Width,Length,Chain,GemType,Setting,StoneWeight,Waterpressureresistance
168,168,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MDIwNDk0Mjc1OTkwMzg6MTY5MjAzMDg5MzpzcF9zZWFyY2hfdGhlbWF0aWM6MjAwMDgxNTg1MDUwMTUxOjoyOjo&url=%2FBulova-Classic-Stainless-Quartz-Silicone%2Fdp%2FB099KQYRLR%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.dda555fd-6ccb-4310-8456-6c1ffb0e71eb%253Aamzn1.sym.dda555fd-6ccb-4310-8456-6c1ffb0e71eb%26cv_ct_cx%3Dbulova%26keywords%3Dbulova%26pd_rd_i%3DB099KQYRLR%26pd_rd_r%3De897b533-6733-4543-89b1-8424a2eb32fd%26pd_rd_w%3D5d6mV%26pd_rd_wg%3DkBmFO%26pf_rd_p%3Ddda555fd-6ccb-4310-8456-6c1ffb0e71eb%26pf_rd_r%3DYP44REZSZWC0AAW43QEE%26qid%3D1692030893%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-291-f853d353-bf33-45e7-b5c2-2cb2b31abc9b-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Bulova Men's Sport 6-Hand Chronograph Quartz Watch with Silicone Strap, 24 Hour Time, Calendar Date, Luminous Hands and Markers, 100M Water Resistant, 44mm",310.28,4.7,, Bulova , 98A288 , 98A288 , Round , Mineral Glass , Analog , Buckle , Stainless Steel , 44 millimeters , 10.95 millimeters , Silicone , 22 millimeters , Blue , Blue , Stationary , Quartz , 100 Meters ,,, Stainless Steel , Chronograph ,, Mens Standard , No Calendar , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,,,,,,,,,,
169,169,https://www.amazon.com/Bulova-Classic-Reserve-Stainless-Silver-Tone/dp/B07WMXH4FP/ref=sr_1_297?keywords=bulova&qid=1692030893&sr=8-297,Bulova Men's Classic 6 Hand Power Reserve Leather Strap Watch,550.0,4.4,, Bulova , 96C141 , 96C141 , Round , Sapphire Crystal , Analog , Push Button Deployment Clasp , Stainless Steel , 43 millimeters , 12.8 millimeters , Leather , 21 millimeters , Black , Silver , Stationary , Quartz , 100 Feet ," For warranty information about this product, please click here ", no-metal-stamp , Stainless Steel , Chronograph , 3.4 Ounces , Mens Standard , Day-Date ,,,,,,,,,,,
170,170,https://www.amazon.com/Bulova-Womens-Crystals-Mother-Pearl/dp/B086418VH1/ref=sr_1_299?keywords=bulova&qid=1692030893&sr=8-299,Bulova Women's Crystals Mother of Pearl Dial Watch - 96X147,,4.6,"Stainless steel case, Stainless steel bracelet, Mother of pearl dial, Quartz movement, Scratch resistant mineral, Water resistant up to 3 ATM - 30 meters - 100 feet", Bulova , 96X147 , 96X147 , Round , Mineral , Analog , Deployment Clasp , Stainless Steel , 32 millimeters , 8.1 millimeters , Stainless Steel , 14 millimeters , Silver , Mother of pearl , Stationary , Quartz , 30 Meters ,,,, Water Resistant , 8 Ounces ,,," If this product is sold by Amazon, please review the manufacturer’s website for warranty information. If this product is sold by another party, please contact the seller directly for warranty information for this product. You may also be able to find warranty information on the manufacturer’s website. ",,,,,,,,,,
171,171,https://www.amazon.com/Bulova-96B285-Quartz-Chronograph-Silver/dp/B07DLBXH3D/ref=sr_1_296?keywords=bulova&qid=1692030893&sr=8-296,Bulova Men's 96B285 Quartz Chronograph Blue Dial Silver Tone 44mm Watch,215.96,4.5,, Bulova , 96B285 , 96B285 , Round ,, Analog , Deployment Clasp ,, 44.5 millimeters , 12.2 millimeters ,, 22 millimeters , Silver , Blue , Stationary , Quartz , 200 Meters ," For warranty information about this product, please click here ",,,, 15.87 Ounces ,, Date ,,,,,,,,,,,
172,172,https://www.amazon.com/Bulova-Mens-Classic-Chain-Bracelet/dp/B08JQJG61Q/ref=sr_1_298?keywords=bulova&qid=1692030893&sr=8-298,Bulova Mens Classic Chain Bracelet,,4.3,, Bulova , J96B031M ,,,,, no clasp type ,,,,,,,,,,,,,,,,,,,, Metal , 0.01 inches ,,, Link Chain , Diamond , Inlay ,,
173,173,https://www.amazon.com/Bulova-96A236-Crystal-Baguette-Bracelet/dp/B07WH74RTQ/ref=sr_1_300?keywords=bulova&qid=1692030893&sr=8-300,Bulova Men's Phantom Crystal Watch,344.99,4.7,, Bulova , 96A236 , 96A236 , Round , Mineral , Analog , Deployment Clasp , Stainless Steel , 42 millimeters , 10 millimeters , Stainless Steel , 26 millimeters , Silver , Silver , Stationary , Quartz , 30 Meters ," For warranty information about this product, please click here ",, Stainless Steel ," Hour, Minute, Second ", 8 Ounces , Mens Standard , No Calendar ,,,,,,,,,,,
174,174,https://www.amazon.com/Sinatra-Collection-Stainless-Automatic-96B347/dp/B08FFMR5NH/ref=sr_1_301?keywords=bulova&qid=1692030893&sr=8-301,Bulova Men's Frank Sinatra 'Fly Me to The Moon' Brown Leather Strap and Silver-White Dial Watch | 39mm | 96B347,484.0,3.5,"In honor of the iconic Frank Sinatra, Bulova presents this dashing 'Fly Me To The Moon' watch. Featuring a 38mm stainless steel case, a silver-tone sunray dial, and silver-tone hands and hour markers, this device will monitor your valuable time with classic style. Frank Sinatra's signature can be found on the dial while the transparent case back displays the watch's mechanisms and Sinatra's Fedora Hat, with the phrase 'Fly Me To The Moon' on both the back of the case and inside the textured brown leather strap, making for a timepiece as nostalgic as it is handsome.Miyota Caliber 8215 21-jewel automatic movement39mm stainless steel case with exhibition case backSilver-tone sunray dial with silver-tone hands and hour markers42-hour power reserveWater resistant up to 30 metersBrown leather strap with deployant buckleCalendarDomed sapphire crystal with anti-reflective coatingBulova style #: 96B347", Bulova , 96B347 , 96B347 , Round , Sapphire Crystal , Analog , Deployment Clasp , 39 mm , 40 millimeters ,, Leather , 20 millimeters , Brown , Silver , Stationary , Automatic , 30 Meters ," For warranty information about this product, please click here ", no-metal-stamp ,, Second Hand ,,,,,,,,,,,,,,
175,175,https://www.amazon.com/Bulova-Classic-Stainless-Diamond-Silver-Tone/dp/B01N7NKO6B/ref=sr_1_302?keywords=bulova&qid=1692030893&sr=8-302,"Bulova Ladies' Classic Dress Stainless Steel 2-Hand Quartz Watch, White Mother-of-Pearl Style: 96P175",295.0,4.5,Classic Ladies watch featuring a white MOP dial with diamond accent and stainless steel case and bracelet., Bulova , 96P175 , 96P175 , Round , Mineral , Analog , Push Button Foldover Clasp With Safety , Stainless Steel , 27 millimeters , 5.2 millimeters , Stainless Steel , 12.9 millimeters , Silver , White , Stationary , Quartz , 100 Feet ,,, Stainless Steel , Second Hand , 1.8 Ounces , Women's Standard , No Calendar , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,2016.0,,,,,,,,,
177,177,https://www.amazon.com/Bulova-Jewelry-Stainless-Ceramic-Bracelet/dp/B0C9N2R3GF/ref=sr_1_304?keywords=bulova&qid=1692030893&sr=8-304,"Bulova Men's Jewelry Icon Stainless Steel and Black Ceramic Tuning Fork Link Bracelet, Length 8.5"" Style: BVB1056-XSTNA",187.5,Previous page of related Sponsored Products,"This bracelet is traditional yet contemporary in stainless steel and black ceramic. Crafted with our tuning fork shaped links featuring a custom-designed clasp with tongue in the shape of the Bulova signature tuning fork. Reverse side of clasp is branded with our iconic logo. Bracelet measures 8.5""", Bulova ,,,,,, Buckle ,,,,,,,,,,,,,,,,,,,, Stainless Steel ,,,, Link Chain , no gemstone ,,,
179,179,https://www.amazon.com/Bulova-Precisionist-Diamond-Leather-96D147/dp/B07WHYTYWW/ref=sr_1_310?keywords=bulova&qid=1692030893&sr=8-310,"Bulova Precisionist Mens Watch, Stainless Steel with Black Stainless Steel StrapDiamond , Silver-Tone (Model: 96D147)",419.99,4.4,"Powered by Bulova’s proprietary Precisionist three-hand calendar movement with a 262kHz vibrational frequency—eight times greater than standard timepieces—for unparalleled accuracy. Stainless steel case with black dial featuring 11 hand set diamonds, curved mineral crystal, black leather strap with alligator grain texture and three-piece buckle closure. 300-meter water resistance.", Bulova , 96D147 , 96D147 , Round , Mineral , Analog , Buckle , Stainless Steel , 46.5 millimeters , 14.3 millimeters , Stainless Steel , 24 millimeters , Black , Black , Stationary , Quartz , 300 Meters ," For warranty information about this product, please click here ", no-metal-stamp , Stainless Steel , Water Resistant ,, Mens Standard , Date ,,,,,,,,,,,
180,180,https://www.amazon.com/Bulova-Mens-Precisionist-Black-Watch/dp/B0C4Y47YHF/ref=sr_1_311?keywords=bulova&qid=1692030893&sr=8-311,Bulova Men's Precisionist Black Dial Watch - 98B358,662.53,Previous page,"The Bulova Precisionist Men's Watch - 98B358 is a versatile model suitable for different occasions, combining style and functionality. Equipped with a high precision 262kHz Precisionist quartz movement, it offers extremely accurate time keeping. This watch also features a chronograph function, which allows you to measure time intervals accurately, and a date display that shows the data. The brown dial adds a touch of elegance, while the brown silicone strap provides comfort during use. The 45mm steel case gives it strength and durability, while the water resistance to 30 atmospheres (30 meters) makes it suitable for water activities too. The Bulova Precisionist Men's Watch - 98B358 is an ideal complement to any outfit and suits many occasions, whether for a formal or casual event. Bringing with you the beauty and quality of Bulova is a sign of style and sophistication. The watch comes with the original box, brand certificates and a 2-year warranty, offering additional peace of mind to the buyer.", Bulova ,, 98B358 , Round ,, Analog , Buckle , Alloy Steel , 41 millimeters , 13 millimeters , Silicone ,, Black , Black ,, Quartz , 100 Meters ," For warranty information about this product, please click here ",,, Chronograph ,,,,,,,,,,,,,,
183,183,https://www.amazon.com/Bulova-Womens-Classic-Quartz-Stainless/dp/B078WWRBM8/ref=sr_1_312?keywords=bulova&qid=1692030893&sr=8-312,Bulova Ladies Classic Aerojet Stainless Steel Bracelet Watch,206.76,4.6,, Bulova , 97M115 , 97M115 , Round , Mineral , Analog , Push Button Deployment Clasp , Stainless Steel , 34.7 millimeters , 8.1 millimeters , Stainless Steel , 16 millimeters , Gold , Beige , Stationary , Quartz , 100 Feet ," For warranty information about this product, please click here ",, Stainless Steel ,, 2.24 Ounces , Women's Standard , Date ,,,,,,,,,,,
184,184,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozOTIxODkzMjQwNzc3OTIzOjE2OTIwMzA4OTM6c3BfbXRmOjIwMDA4MTU4NTA1MDE1MTo6MDo6&url=%2FBulova-Classic-Stainless-Quartz-Silicone%2Fdp%2FB099KQYRLR%2Fref%3Dsr_1_305_sspa%3Fkeywords%3Dbulova%26qid%3D1692030893%26sr%3D8-305-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"Bulova Men's Sport 6-Hand Chronograph Quartz Watch with Silicone Strap, 24 Hour Time, Calendar Date, Luminous Hands and Markers, 100M Water Resistant, 44mm",310.28,4.7,, Bulova , 98A288 , 98A288 , Round , Mineral Glass , Analog , Buckle , Stainless Steel , 44 millimeters , 10.95 millimeters , Silicone , 22 millimeters , Blue , Blue , Stationary , Quartz , 100 Meters ,,, Stainless Steel , Chronograph ,, Mens Standard , No Calendar , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,,,,,,,,,,
185,185,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozOTIxODkzMjQwNzc3OTIzOjE2OTIwMzA4OTM6c3BfbXRmOjIwMDAyMDY5NDI4MDI1MTo6MDo6&url=%2FBulova-Stainless-Steel-Analog-Quartz-Stainless-Steel%2Fdp%2FB01M2C0VJM%2Fref%3Dsr_1_307_sspa%3Fkeywords%3Dbulova%26qid%3D1692030893%26sr%3D8-307-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"Bulova Men's Crystal Octava Chronograph Quartz Watch, Pave Crystal Dial",298.89,4.7,"Watch Sizing Guide It's your time to shine in this Bulova® Crystal - 98C126 watch. Stainless steel case. Two-tone stainless steel bracelet with fold-over, double push-button release. Round face. Three-hand analog display with quartz movement. Brilliant dial embellished with 308 Swarovski® Crystals, gold-tone hands, and hour markers, three subdials and Bulova detailing. Water resistant up to 30 meters. Display case included. Imported. Your Bulova watch is covered by Bulova's 3-Year Global Warranty. Measurements: Case Height: 42 mm Case Width: 42 mm Case Depth: 10 mm Band Width: 20 mm Band Circumference/Length: 10 in Weight: 6 oz", Bulova , 98C126 , 98C126 , Octagonal , Synthetic Sapphire , Analog , Deployment Clasp , Stainless Steel , 41.5 millimeters , 9.8 millimeters , Stainless Steel , 22 millimeters , Gold , Silver , Stationary , Quartz , 100 Feet ,, no-metal-stamp (Fashion only) , Stainless Steel , Water Resistant , 8 Ounces , Mens Standard , Day-Date-Month , Warranty details can be found here [PDF ]  ,,,,,,,,,,
189,189,https://www.amazon.com/Bulova-Womens-Quartz-Stainless-Silver/dp/B08HR6PDRH/ref=sr_1_317?keywords=bulova&qid=1692030893&sr=8-317,"Bulova Ladies' Classic Surveyor Stainless Steel 3-Hand Calendar Date Quartz Watch, Diamond Dial on White Mother-of-Pearl Style: 96P218",297.5,3.7,"From the Classic Collection. Stainless steel case and bracelet with a white mother-of-pearl dial set with eight diamonds. Watch features a flat mineral crystal, three-hand calendar movement, and water resistance to 30 meters.", Bulova , 96P218 , 96P218 , Round , Mineral , Analog , Deployment Clasp , Stainless Steel , 34 millimeters , 9.7 millimeters , Stainless Steel , 21 millimeters , Silver , White MOP , Stationary , Quartz , 30 Meters ,,, Stainless Steel , Second Hand ,, Womens Standard , Date , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,,,,,,,,,,
191,191,https://www.amazon.com/Bulova-Classic-Stainless-Diamond-Two-Tone/dp/B083XTW7LW/ref=sr_1_318?keywords=bulova&qid=1692030893&sr=8-318,Bulova Ladies' Stainless Steel Bracelet with Diamonds and Mother-of-Pearl Dial,243.32,4.2,, Bulova , 98P201 , 98P201 , Round , Mineral Glass , Analog , Push Button Deployment Clasp , Stainless Steel , 36 millimeters , 6.7 millimeters , Stainless Steel , 16 millimeters , Multicolor , White , Stationary , Japanese Quartz , 30 Meters ," For warranty information about this product, please click here ",, Stainless Steel , Second Hand ,, Womens Standard , Date ,,,,,,,,,,,
192,192,https://www.amazon.com/Bulova-Classic-Plated-Stainless-Chronograph/dp/B0B7TGJ83P/ref=sr_1_2?keywords=bulova&qid=1692030893&sr=8-2,Bulova Men's Classic Sport Black Ion Plated Stainless Steel 6 Hand Chronograph Quartz Watch : 98B365,153.0,4.5,"Bulova Men's Classic Sport Chronograph watch with a black ion-plated stainless steel case and bracelet with red accents and luminous hands and markers. Watch features 42.5 millimeter dial, black and red fixed bezel, six hand chronograph function and calendar, 24 Hour Time movement, mineral crystal, and Safety Fold Over Clasp with Push Buttons.", Bulova , 98B365 , 98B365 , Round , Crystal , Analog , Push Button Deployment Clasp , Stainless Steel , 42.5 millimeters , 10.7 millimeters , Stainless Steel , 22 millimeters , Black , Black , Stationary , Quartz , 100 Meters ,,, Stainless Steel ," Chronograph,Water Resistant ,Seconh Hand,Bezel Markings ",, Mens Standard , Day-Date , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,,,,,,,,,,
193,193,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNTg5MjA4OTY0MDU3NDkwOjE2OTIwMzA4OTM6c3BfYXRmOjIwMDA4MTU4NTc2MDE1MTo6MDo6&url=%2FBulova-Modern-Quartz-Stainless-Gold-Tone%2Fdp%2FB099KT1NTV%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dbulova%26qid%3D1692030893%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"Bulova Men's Modern Gold Tone Stainless Steel 3-Hand Calendar Date Quartz Watch, Diamond Dial",249.26,4.7,, Bulova , 97D127 , 97D127 , Round , Mineral Glass , Analog , Push Button Deployment Clasp , Stainless Steel , 40 millimeters , 7.4 millimeters , Stainless Steel , 24 millimeters , Gold-Tone , Black , Stationary , Quartz , 30 Meters ,,, Stainless Steel , Chronograph ,, Mens Standard , Date , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,,,,,,,,,,
194,194,https://www.amazon.com/Bulova-Two-Tone-Stainless-Chronograph-Bracelet/dp/B0713STW5H/ref=sr_1_3?keywords=bulova&qid=1692030893&sr=8-3,"Bulova Men's Marine Star 'Series C' Chronograph Quartz Watch, Luminous Markers, Rotating Dial, 200M Water Resistant, 45mm",297.13,4.6,"Watch Sizing Guide Elevate your look with this high-performance watch from Bulova®! Stainless steel case. Stainless steel bracelet with fold-over, double push-button release. Round face. Three-hand analog display with quartz movement. Blue dial features rose gold-tone hands and hour markers, three subdials, date display window, minute track, and Bulova detailing. Chronograph functionality. Water resistant 200 meters. Display case included. Imported. Your Bulova watch is covered by Bulova's 3-Year Global Warranty. Measurements: Case Height: 45 mm Case Width: 45 mm Case Depth: 14 mm Band Width: 11 2/3 mm Band Circumference/Length: 10 in Weight: 7.4 oz", Bulova , 98B301 , 98B301 , Round , Mineral , Analog , Fold-Over Clasp with Safety , Stainless Steel , 45 millimeters , 12.3 millimeters , Stainless Steel , 22 millimeters , Silver , Blue , Stationary , Quartz , 660 Feet ,, no-metal-stamp (Fashion only) , Stainless Steel , Chronograph , 7.39 Ounces , Men's Standard , Day-Date-Month , Warranty details can be found here [PDF ]  ,,,,,,,,,,
195,195,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NDE1NDg1OTMwNjQ4NDc1OjE2OTIwMzA4OTM6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDA4MTU4NTc2MDE1MTo6MDo6&url=%2FBulova-Modern-Quartz-Stainless-Gold-Tone%2Fdp%2FB099KT1NTV%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.1c86ab1a-a73c-4131-85f1-15bd92ae152d%253Aamzn1.sym.1c86ab1a-a73c-4131-85f1-15bd92ae152d%26cv_ct_cx%3Dbulova%26keywords%3Dbulova%26pd_rd_i%3DB099KT1NTV%26pd_rd_r%3Deac19e5a-91c9-441f-960a-4b100cccdf8d%26pd_rd_w%3DI3VSn%26pd_rd_wg%3Dm5A7N%26pf_rd_p%3D1c86ab1a-a73c-4131-85f1-15bd92ae152d%26pf_rd_r%3DE8AHZ2CEN1G7YMXPEQ27%26qid%3D1692030893%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-364cf978-ce2a-480a-9bb0-bdb96faa0f61-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Bulova Men's Modern Gold Tone Stainless Steel 3-Hand Calendar Date Quartz Watch, Diamond Dial",249.26,4.7,, Bulova , 97D127 , 97D127 , Round , Mineral Glass , Analog , Push Button Deployment Clasp , Stainless Steel , 40 millimeters , 7.4 millimeters , Stainless Steel , 24 millimeters , Gold-Tone , Black , Stationary , Quartz , 30 Meters ,,, Stainless Steel , Chronograph ,, Mens Standard , Date , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,,,,,,,,,,
